raceId,circuitType_RACE,circuitType_ROAD,circuitType_STREET,Bgap_mean,Bgap_median,Bgap_std,Bgap_var,First_ten_gap,Bgap_average
625,True,False,False,258.42857142857144,117.0,302.9456294812136,91776.0544217687,1629.0,258.42857142857144
626,True,False,False,226.28571428571428,156.0,291.5652573948547,85010.29931972788,2198.0,226.28571428571428
627,True,False,False,379.8888888888889,230.5,427.4937152090191,182750.8765432099,2507.0,379.8888888888889
628,True,False,False,187.63636363636363,133.0,171.3039683917943,29345.049586776862,1505.0,187.63636363636363
629,True,False,False,193.6818181818182,114.0,202.39192095887,40962.48966942149,1246.0,193.6818181818182
630,True,False,False,288.8095238095238,176.0,296.14855008731826,87703.96371882086,2787.0,288.8095238095238
631,False,False,True,311.95238095238096,175.0,374.8982688918963,140548.7120181406,2327.0,311.95238095238096
632,True,False,False,197.23809523809524,130.0,204.32045436657185,41746.84807256236,1806.0,197.23809523809524
633,True,False,False,208.3181818181818,152.5,211.9329624633988,44915.5805785124,1780.0,208.3181818181818
634,False,False,True,198.5,108.5,190.57824687465825,36320.06818181818,1421.0,198.5
635,True,False,False,170.22727272727272,116.0,205.5584260713377,42254.26652892561,1215.0,170.22727272727272
636,False,False,True,185.8636363636364,140.0,202.63430909680744,41060.663223140495,1531.0,185.8636363636364
637,True,False,False,449.1363636363636,362.0,428.2221487472197,183374.20867768597,3787.0,449.1363636363636
638,True,False,False,188.95238095238096,112.0,188.87422778903024,35673.473922902485,2069.0,188.95238095238096
639,True,False,False,154.95454545454547,75.5,190.76031540622984,36389.4979338843,1896.0,154.95454545454547
640,True,False,False,148.13636363636363,124.0,145.82938207949024,21266.20867768595,1388.0,148.13636363636363
641,True,False,False,168.6818181818182,118.0,159.47681118515357,25432.853305785124,1233.0,168.6818181818182
642,True,False,False,193.1818181818182,88.5,220.26691171552343,48517.51239669421,1835.0,193.1818181818182
643,True,False,False,185.3181818181818,188.0,170.7215666100365,29145.853305785124,1584.0,185.3181818181818
644,True,False,False,172.1818181818182,136.0,174.68273484016578,30514.057851239668,1055.0,172.1818181818182
645,True,False,False,235.66666666666663,102.0,261.14224063002496,68195.26984126985,2399.0,235.66666666666663
646,True,False,False,229.3181818181818,150.0,224.87741839896933,50569.85330578512,2251.0,229.3181818181818
647,False,False,True,188.5909090909091,149.5,190.328104046887,36224.78719008264,1462.0,188.5909090909091
648,True,False,False,170.05,58.0,216.24418489291224,46761.5475,1404.0,170.05
649,True,False,False,165.77272727272728,87.5,220.54579648478327,48640.44834710744,1524.0,165.77272727272728
650,True,False,False,157.77272727272728,71.5,214.54178059257995,46028.17561983471,1322.0,157.77272727272728
651,True,False,False,149.22727272727272,69.0,184.32380890412836,33975.26652892562,1396.0,149.22727272727272
652,True,False,False,166.0,115.0,189.7938731511486,36021.71428571428,1301.0,166.0
653,False,False,True,205.66666666666663,119.0,302.5638591915579,91544.88888888888,1268.0,205.66666666666663
654,False,False,True,166.0,108.5,173.16282405979533,29985.36363636364,1493.0,166.0
655,True,False,False,121.36363636363636,100.5,102.75192785386535,10557.95867768595,1273.0,121.36363636363636
656,True,False,False,136.77272727272728,54.0,181.05647833509695,32781.44834710744,1495.0,136.77272727272728
657,True,False,False,336.22727272727275,167.5,448.6372225284217,201275.35743801657,2608.0,336.22727272727275
658,True,False,False,154.13636363636363,151.5,121.973281520826,14877.481404958677,1494.0,154.13636363636363
659,True,False,False,188.0909090909091,112.5,218.61795424291063,47793.80991735538,1798.0,188.0909090909091
660,True,False,False,163.1818181818182,69.0,243.2853985013629,59187.78512396693,1044.0,163.1818181818182
661,True,False,False,131.5909090909091,77.5,121.9033369261031,14860.42355371901,1218.0,131.5909090909091
662,True,False,False,210.77272727272728,102.5,298.28524051776986,88974.0847107438,1504.0,210.77272727272728
663,True,False,False,212.77272727272728,76.5,322.4058610760641,103945.53925619836,1591.0,212.77272727272728
664,False,False,True,288.0,157.5,466.2963357429187,217432.27272727276,1723.0,288.0
665,True,False,False,239.47619047619048,192.0,184.63880287833507,34091.487528344675,1461.0,228.5909090909091
666,True,False,False,136.54545454545453,90.0,138.98879198525566,19317.884297520664,1144.0,136.54545454545453
667,True,False,False,237.5909090909091,206.5,225.50945537340536,50854.5144628099,1617.0,237.5909090909091
668,True,False,False,196.4090909090909,90.0,201.65602105180565,40665.15082644629,1031.0,196.4090909090909
669,True,False,False,182.8636363636364,120.0,189.9206282669745,36069.84504132231,873.0,182.8636363636364
670,False,False,True,216.8636363636364,167.5,190.16698295171716,36163.48140495868,1790.0,216.8636363636364
671,False,False,True,223.0909090909091,119.0,275.4140534294615,75852.90082644628,1341.0,223.0909090909091
672,True,False,False,169.5,129.5,141.18966933622562,19934.522727272728,1478.0,169.5
673,True,False,False,167.1904761904762,148.0,135.04553695755442,18237.297052154197,1192.0,167.1904761904762
674,True,False,False,206.9047619047619,186.0,169.95094663766525,28883.324263038547,1836.0,206.9047619047619
675,True,False,False,209.04545454545453,134.5,220.0248905904485,48410.95247933885,2205.0,209.04545454545453
676,True,False,False,230.9090909090909,136.5,238.7291940655218,56991.62809917356,2153.0,230.9090909090909
677,True,False,False,551.4545454545455,397.0,544.1014049264854,296046.3388429752,6447.0,551.4545454545455
678,True,False,False,238.5,138.0,288.36604736467723,83154.97727272728,1477.0,238.5
679,True,False,False,160.86363636363637,84.0,222.16236802977016,49356.11776859504,1097.0,160.86363636363637
680,True,False,False,261.90909090909093,144.0,299.1492344346044,89490.26446280991,1902.0,261.90909090909093
681,False,False,True,1250.3636363636365,164.5,4504.023499711166,20286227.685950413,2389.0,1250.3636363636365
682,True,False,False,222.3636363636364,150.5,215.71984050331776,46535.04958677687,2428.0,222.3636363636364
683,True,False,False,164.27272727272728,78.0,280.7038526500162,78794.652892562,1329.0,164.27272727272728
684,True,False,False,179.0952380952381,140.0,158.38226955899324,25084.9433106576,2025.0,179.0952380952381
685,True,False,False,140.05263157894737,94.0,196.084695364612,38449.20775623268,1775.0,140.05263157894737
686,True,False,False,193.3636363636364,81.0,236.89440406579035,56118.95867768594,1579.0,193.3636363636364
687,False,False,True,223.77272727272728,113.5,299.52992441463124,89718.17561983471,1616.0,223.77272727272728
688,False,False,True,205.04545454545453,117.0,381.1479642621184,145273.77066115706,1852.0,205.04545454545453
689,True,False,False,197.5,154.0,193.45230795869415,37423.795454545456,1483.0,197.5
690,True,False,False,210.66666666666663,71.0,284.059070539132,80689.55555555556,2189.0,210.66666666666663
691,True,False,False,267.3888888888889,136.0,458.9909390159739,210672.68209876545,1472.0,267.3888888888889
692,True,False,False,171.76190476190476,80.0,218.67150940381623,47817.229024943306,1601.0,171.76190476190476
693,True,False,False,231.3,92.5,269.00745342833903,72365.01000000001,1890.0,231.3
694,True,False,False,222.2,155.0,198.92224611641603,39570.06,2246.0,222.2
695,True,False,False,242.35,119.0,331.8201734373605,110104.62750000002,2054.0,242.35
696,True,False,False,150.95,112.0,148.76070549711707,22129.7475,1163.0,150.95
697,True,False,False,260.5263157894737,173.0,376.7698401748393,141955.51246537396,2112.0,260.5263157894737
698,False,False,True,252.77777777777777,140.0,389.5285691356149,151732.5061728395,1755.0,227.5
699,True,False,False,203.47368421052636,125.0,343.5986594577509,118060.03878116346,1050.0,203.47368421052636
700,True,False,False,138.95,69.0,203.64024037503,41469.34749999999,577.0,138.95
701,True,False,False,1934.0,130.0,7512.457108030634,56437011.8,1133.0,1934.0
702,True,False,False,235.52631578947367,133.0,274.45225227926886,75324.03878116343,1665.0,223.75
703,True,False,False,609.0555555555555,140.0,1365.5763729088585,1864798.8302469128,1129.0,577.0
704,False,False,True,252.8421052631579,120.0,379.6755211822874,144153.50138504157,1485.0,252.8421052631579
705,False,False,True,166.47368421052633,113.0,171.37904079340825,29370.77562326869,1410.0,158.15
706,True,False,False,261.1578947368421,167.0,364.1759642864818,132624.13296398893,1426.0,248.1
707,True,False,False,230.0,117.0,265.6531573311336,70571.6,1326.0,230.0
708,True,False,False,239.47368421052636,187.0,237.3064570774194,56314.3545706371,1425.0,227.5
709,True,False,False,200.35,143.5,175.2413407275806,30709.5275,1499.0,200.35
710,True,False,False,360.95,144.0,578.2754080021041,334402.44749999995,1681.0,360.95
711,True,False,False,972.1,226.0,2920.5203457603234,8529439.09,1754.0,972.1
712,True,False,False,198.7,129.5,276.0721101451575,76215.81,896.0,198.7
713,True,False,False,306.27777777777777,138.0,507.1738476384553,257225.31172839503,1845.0,275.65
714,False,False,True,369.0,229.0,471.2999544439014,222123.64705882352,1889.0,313.65
715,True,False,False,379.3333333333333,183.5,480.0002314814257,230400.22222222225,1843.0,341.4
716,True,False,False,297.2631578947368,115.0,343.5824948217275,118048.9307479224,1580.0,282.4
717,True,False,False,1474.7777777777778,168.5,4418.99623539046,19527527.72839506,1334.0,1327.3
