raceId,Bgap_mean,Bgap_median,Bgap_std,Bgap_var,First_ten_gap,Bgap_average
561,299.7142857142857,148.0,415.1329268304016,172335.34693877553,1392.0,299.7142857142857
562,266.85714285714283,112.5,343.8274810638234,118217.33673469388,1395.0,266.85714285714283
563,336.42857142857144,146.5,619.25314628484,383474.45918367343,1324.0,336.42857142857144
564,13719.214285714286,139.5,69766.63466276963,4867383312.168368,1783.0,13719.214285714286
565,308.65384615384613,207.5,369.722030960443,136694.3801775148,1833.0,308.65384615384613
566,540.6538461538462,369.0,548.9849334003545,301384.45710059174,2873.0,540.6538461538462
567,359.61538461538464,279.0,326.47253117141025,106584.31360946744,2277.0,359.61538461538464
568,311.0769230769231,207.0,259.14176741949916,67154.4556213018,2475.0,311.0769230769231
569,368.84615384615387,224.5,339.6805843852192,115382.89940828404,2981.0,368.84615384615387
570,305.0416666666667,159.0,312.2159347800101,97478.78993055555,1980.0,305.0416666666667
571,318.3333333333333,227.5,301.4558655738662,90875.63888888889,2330.0,318.3333333333333
572,1011.4166666666666,337.5,2402.35661931964,5771317.326388889,2329.0,1011.4166666666666
573,426.6666666666667,155.5,631.2492684264188,398475.63888888893,1971.0,426.6666666666667
574,399.5,283.0,424.99196070827816,180618.16666666666,3431.0,399.5
575,631.0416666666666,310.5,800.5689892802632,640910.7065972221,3756.0,631.0416666666666
576,333.6666666666667,235.5,342.6733948755805,117425.05555555555,2079.0,333.6666666666667
577,509.6666666666667,237.0,1033.6176624952875,1068365.4722222222,2294.0,509.6666666666667
578,379.7916666666667,263.5,395.39631796956445,156338.2482638889,2171.0,379.7916666666667
579,308.0,173.0,377.1158089146268,142216.33333333334,1639.0,308.0
580,37692.375,387.0,178626.32516438997,31907364041.734375,2358.0,37692.375
581,937.2083333333334,223.0,3149.48400508145,9919249.49826389,1843.0,937.2083333333334
582,441.6363636363636,160.5,801.9609231839477,643141.3223140496,2461.0,441.6363636363636
583,,,,,1840.0,
584,241.13636363636363,197.0,245.02491440195618,60037.20867768596,1712.0,241.13636363636363
585,313.59090909090907,140.0,365.9946173338556,133952.0599173554,2172.0,313.59090909090907
586,308.8636363636364,212.0,344.6877764341818,118809.6632231405,1895.0,308.8636363636364
587,228.95454545454547,97.0,350.2876061535626,122701.40702479339,1607.0,228.95454545454547
588,304.90909090909093,177.5,310.34788531155704,96315.80991735536,2420.0,304.90909090909093
589,229.54545454545453,149.5,225.95066381699093,51053.70247933885,1273.0,229.54545454545453
590,211.72727272727272,141.0,276.83818408104264,76639.38016528926,1454.0,211.72727272727272
591,383.1363636363636,207.5,755.27943627475,570447.0268595042,2311.0,383.1363636363636
592,372.25,175.0,417.4632768280343,174275.5875,1964.0,372.25
593,266.95,130.0,336.8574587269814,113472.94749999998,2307.0,266.95
594,400.25,289.5,417.19622181894215,174052.6875,2578.0,400.25
595,281.45,231.5,238.95344211791547,57098.74749999998,1990.0,281.45
596,264.1,143.5,287.503895625781,82658.48999999999,1994.0,264.1
597,394.3,290.0,393.8102461846314,155086.51,2691.0,394.3
598,529.875,215.0,1012.7954018663723,1025754.5260416666,3501.0,529.875
599,148.63636363636363,104.0,150.68104346434603,22704.776859504134,1171.0,148.63636363636363
600,204.36363636363637,174.5,189.7990673064892,36023.68595041322,2326.0,204.36363636363637
601,246.54545454545453,145.0,279.82246437741185,78300.61157024793,1774.0,246.54545454545453
602,139.72727272727272,140.5,111.1187660356668,12347.380165289256,1079.0,139.72727272727272
603,206.13636363636363,159.0,205.0189116453197,42032.75413223141,1969.0,206.13636363636363
604,133.5909090909091,97.0,150.10228606184427,22530.69628099173,939.0,133.5909090909091
605,169.63636363636363,122.5,168.90571481115663,28529.140495867774,791.0,169.63636363636363
606,178.5,115.5,203.53930824290427,41428.25,773.0,178.5
607,210.27272727272728,144.5,200.35359238973254,40141.56198347109,1336.0,210.27272727272728
608,152.1818181818182,136.5,133.7003557361271,17875.78512396694,1466.0,152.1818181818182
