raceId,Bgap_mean,Bgap_median,Bgap_std,Bgap_var,First_ten_gap,gapWeightedSum
973,214.3,136.0,273.6461401152956,74882.20999999999,1899.0,0.01624368801191475
974,157.10526315789474,110.0,139.5843056842416,19483.7783933518,1265.0,-0.042701487763443
975,134.3684210526316,65.0,143.68247540884096,20644.65373961219,1446.0,-0.010796140435466235
976,212.0,177.0,200.25034332055463,40100.2,2319.0,0.055811653983629715
977,206.55,152.0,222.1214701464044,49337.9475,2368.0,0.06658230591500254
978,177.25,89.5,201.6035403955,40643.9875,1844.0,0.020110814419527046
979,190.95,168.0,148.54779533873938,22066.4475,1724.0,-0.006712338498992916
980,834.5263157894736,134.0,2599.661928798497,6758242.144044322,1853.0,-0.02313691063139544
981,213.26315789473685,140.0,224.75058505989372,50512.825484764544,1617.0,-0.020179664781446054
982,135.94736842105263,70.0,156.03524355066995,24346.9972299169,1411.0,-0.014225491632838053
983,201.52631578947367,93.0,264.1732622075405,69787.51246537396,1631.0,-0.008199156471833832
984,185.0,120.5,175.6214679360129,30842.9,2026.0,0.03365781649981707
985,117.45,73.0,127.85635494569678,16347.2475,1546.0,0.006237810273347653
986,186.66666666666663,129.0,170.17148213885116,28958.333333333336,1951.0,0.02374645337083655
987,159.45,146.5,118.67622971766504,14084.0475,1562.0,-0.01338085465570274
988,131.75,106.5,107.50575565987153,11557.4875,1648.0,0.008396329654409323
989,190.3,154.5,180.22516472457448,32481.110000000004,1819.0,0.00786044184281839
990,148.3,69.5,183.25094815580084,33580.91000000001,2231.0,0.07506238976088636
991,265.95,128.5,347.0643276108912,120453.6475,2435.0,0.06093564144709962
992,252.5,204.5,204.68207053867712,41894.75,2130.0,0.01622370641888152
993,172.65,105.5,178.98164011987376,32034.42750000001,2046.0,0.04213773097687876
994,174.9,77.0,222.98338503126192,49721.59,2288.0,0.07348915553922519
995,156.35,107.0,157.12997008845892,24689.8275,1483.0,-0.01598816530174423
996,116.0,65.5,131.5826736314474,17314.0,1193.0,-0.03216042441663
997,194.4,165.5,164.35400816530154,27012.24,1748.0,-0.003856263160482853
998,279.05,114.5,436.9590913346466,190933.2475,1945.0,0.00984735021285036
999,196.65,61.0,340.0413614547501,115628.1275,1177.0,-0.04825093441074174
1000,207.44444444444449,92.0,274.8527327340189,75544.02469135803,1609.0,-0.01219209348695113
1001,248.0,138.0,360.8140795479024,130186.8,1441.0,-0.041174632537421575
1002,242.4,171.5,269.92395225322264,72858.94,1893.0,0.0017695785071046447
1003,179.25,111.0,177.53390521249736,31518.2875,1263.0,-0.048938831798871596
1004,207.65,94.0,318.7143352596491,101578.82749999998,1495.0,-0.020464244406217726
1005,244.3,209.0,245.45042269264889,60245.91,2089.0,0.01956479631858317
1006,160.15,111.0,159.4525869968876,25425.1275,1176.0,-0.051975845713602836
1007,158.2,85.0,231.74503230921687,53705.76,1252.0,-0.03439654738832336
1008,161.68421052631578,113.0,277.0080851245623,76733.47922437673,1009.0,-0.05898437794337808
1009,187.6,135.0,187.4071503438436,35121.439999999995,1469.0,-0.029033709549596387
1010,264.6842105263158,164.0,275.70580289629834,76013.68975069252,2219.0,0.029019521865634976
1011,160.47368421052633,98.0,187.22161605435824,35051.93351800554,1201.0,-0.04611944286556099
1012,248.45,257.5,191.7147555614852,36754.5475,2047.0,0.006328329742864947
1013,398.3684210526316,216.0,612.8674803548107,375606.5484764543,2033.0,-0.017604214465995298
1014,183.3333333333333,135.0,179.01986233686785,32048.11111111111,2080.0,0.04054370728087109
1015,271.05,155.0,320.51512834810154,102729.9475,1828.0,-0.012793230877686943
1016,193.0,124.5,221.6458887505022,49126.9,1527.0,-0.021135091469306522
1017,163.73684210526315,65.0,213.67039104911177,45655.03601108034,1355.0,-0.026868864238564775
1018,222.85,147.0,208.5455046266881,43491.22749999999,1931.0,0.008851482303447176
1019,140.9,81.0,166.43614391111086,27700.99,1084.0,-0.052259494470817236
1020,210.8421052631579,113.0,267.2596338981204,71427.71191135734,1720.0,-0.0024954036576306134
1021,158.35,88.0,193.7540386675849,37540.6275,2061.0,0.05219723570446311
1022,179.05263157894737,130.0,173.909375578568,30244.47091412742,2036.0,0.037100919850132065
1023,166.95,108.0,193.5596742609369,37465.3475,1624.0,-0.0011250086885284047
1024,155.65,95.5,156.89941841829753,24617.4275,1500.0,-0.01356287931587765
1025,161.1578947368421,132.0,120.97771136948924,14635.606648199444,1478.0,-0.023046484987107464
1026,141.5,59.5,196.39539200296937,38571.15,1177.0,-0.03850111486653314
1027,110.2,57.5,124.12235898499512,15406.36,1378.0,-0.009418924946169131
1028,198.15,134.0,226.8087906144733,51442.22750000001,1704.0,-0.003249663991596959
1029,137.6,75.5,153.76163370620122,23642.64,1092.0,-0.0511046653687505
1030,115.55,96.0,100.9665662484369,10194.247499999998,980.0,-0.059694023251136964
1031,129.95,97.0,129.74223483507595,16833.047499999997,1302.0,-0.027057402670795414
1032,1692.3,1014.0,2561.1403729588897,6559440.01,5666.0,-0.004744091811645035
1033,145.9,94.5,146.62158776933225,21497.89,1354.0,-0.02659993764755396
1034,102.45,62.0,115.23388173623242,13278.8475,564.0,-0.09825185981509546
1035,159.85,122.5,132.58102239762673,17577.727499999997,800.0,-0.09709051232078529
1036,213.8,125.5,206.46806048394023,42629.06,1604.0,-0.02353281987249905
1037,125.57894736842104,61.0,135.9149563008442,18472.87534626039,727.0,-0.08821667888109339
1038,147.2,106.0,128.16497181367458,16426.260000000002,1084.0,-0.059656293061349785
1039,153.3,92.5,181.8766340132784,33079.11,1225.0,-0.04064123765709139
1040,132.33333333333334,104.5,140.302847044844,19684.88888888889,910.0,-0.07113476178360476
1041,167.77777777777777,84.5,240.42151769930973,57802.5061728395,977.0,-0.06864594955000952
1042,2241.7894736842104,128.0,8673.289976030446,75225959.00831023,1392.0,-0.07041996796037475
1043,117.55,63.5,137.1890939542936,18820.8475,822.0,-0.07384345139732978
1044,111.55,56.0,122.61952332316416,15035.5475,827.0,-0.07196557548539179
1045,151.4,95.5,153.83413145332864,23664.94,1080.0,-0.05907756780351053
1046,184.3684210526316,84.0,254.0752500480529,64554.23268698061,1234.0,-0.04586442684262235
1047,445.7,161.0,895.5838933343989,802070.51,1329.0,-0.08695060667914532
1048,149.5,63.5,154.1400337355614,23759.15,1071.0,-0.058565899412492836
