raceId,totalDNFs,circuitId,countryId,rain,topTenDiversity,driverExpWeightedSum,pitsWeightedSum,preRaceALPCWeightedSum,TCCAPE,clusterMeanWeightedSum,gapWeightedSum
798,2.0,spa-francorchamps,belgium,light,6.0,-0.1534575354047216,0.7629957645736404,-0.0090854210526311,234.0,-0.8651881144210527,-0.0762528592621921
799,1.0,monza,italy,heavy,8.0,-0.1856232016781398,0.8614403541561004,-0.024248946947369,253.5,-1.2667454158157896,-0.0869372056253437
800,5.0,marina-bay,singapore,light,6.0,-0.2177888679515581,0.771656402510627,-0.0177167618421055,273.0,-1.7922721626842106,-0.0962786448959989
801,5.0,fuji,japan,none,6.0,-0.2499545342249763,1.041682233953208,-0.0173936399999996,292.5,-1.5491021363947368,-0.079412362324696
802,3.0,shanghai,china,light,6.0,-0.2821202004983947,1.047538474542895,-0.0161671445789478,312.0,-2.029074788157895,-0.0874680161966813
803,2.0,interlagos,brazil,heavy,6.0,-0.3142858667718129,0.7893255042323433,-0.023917621789473,331.5,-2.0652993603157896,-0.1177082315566408
804,4.0,melbourne,australia,none,6.0,0.1761368745757331,0.7683755806666553,-0.0130543478947379,0.0,-1.6646093833157898,-0.0731674527966887
805,2.0,sepang,malaysia,heavy,7.0,0.1439712083023148,0.8773470242115557,-0.0172219357894743,19.5,-1.8429634346842108,-0.0646605861682666
806,3.0,shanghai,china,heavy,8.0,0.1116966823466392,0.6975477864696401,-0.0159265989473678,29.25,-1.7348044718684212,-0.0691085087900464
807,1.0,bahrain,bahrain,none,7.0,0.0795310160732209,0.6780140482187316,-0.0181952895789484,48.75,-2.330122955894737,-0.0825744647247639
808,6.0,catalunya,spain,light,7.0,0.0473653497998027,0.7899827249447737,-0.0167807916315786,68.25,-1.9676744449473689,-0.1031571130921548
809,5.0,monaco,monaco,none,6.0,0.0151996835263844,0.5618505495302322,-0.0166012783684209,87.75,-1.4064871945,-0.0476526783850206
810,2.0,istanbul,turkey,none,7.0,-0.0169659827470338,0.6875553630360878,-0.0132515842105262,107.25,-2.5776937046315798,-0.1079686743518872
811,2.0,silverstone,united-kingdom,none,6.0,-0.0491316490204521,0.7650831905645676,-0.0120857810526315,126.75,-0.82493043,-0.0879259912296426
812,2.0,nurburgring,germany,light,6.0,-0.0812973152938703,0.7739161837972774,-0.0300748864736839,146.25,-2.464591888631579,-0.0962003420918099
813,3.0,hungaroring,hungary,none,7.0,-0.0949069578568893,0.93559609997154,-0.0270287357894731,165.75,-2.0766202808187137,-0.0891016373350173
814,2.0,valencia,spain,none,7.0,-0.0618623658722235,0.8498823451191644,-0.0160617182631588,185.25,-3.2571263497368426,-0.0896998678126426
815,6.0,spa-francorchamps,belgium,none,7.0,-0.0940280321456418,0.6975592495962908,-0.0147956158421055,204.75,-1.8193142095789476,-0.1021500091519976
816,4.0,monza,italy,light,6.0,-0.1205296209379458,0.5377889239679051,-0.0202540937368418,224.25,-2.836321923263158,-0.090062560563041
